nom_commune,cog_commune,siren_commune,nom_prenom_maire,nuance_politique,famille_nuance
Montbazon,37154,213701543,GINER Sylvie,LDVD,Droite
Monthodon,37155,213701550,LAUGIS Frédéric,NC,Non classé
Montlouis-Sur-Loire,37156,213701568,MORETTE Vincent,LSOC,Gauche
Montrésor,37157,213701576,GAULTIER Frederic,NC,Non classé
Montreuil-En-Touraine,37158,213701584,CICUTTI Claude,NC,Non classé
Monts,37159,213701592,RICHARD Laurent,LDVG,Gauche
Morand,37160,213701600,DENIAU Joël,NC,Non classé
Mosnes,37161,213701618,VILLEMAIN Christophe,NC,Non classé
Mouzay,37162,213701626,RONDWASSER Marie,NC,Non classé
Nazelles-Négron,37163,213701634,MARTIN Cyrille,,
Neuil,37165,213701659,SENNEGON Natalie,NC,Non classé
Neuillé-Le-Lierre,37166,213701667,BENOIST Blandine,NC,Non classé
Neuillé-Pont-Pierre,37167,213701675,JOLLIVET Michel,LNC,Non classé
Neuilly-Le-Brignon,37168,213701683,COINTRE Dominique,NC,Non classé
Neuville-Sur-Brenne,37169,213701691,GOMMÉ Gino,,
Neuvy-Le-Roi,37170,213701709,THELISSON Flavien,LNC,Non classé
Noizay,37171,213701717,MORIN Pierre,LNC,Non classé
Notre-Dame-D'Oé,37172,213701725,LEFRANCOIS Patrick,LDVG,Gauche
Nouans-Les-Fontaines,37173,213701733,MOREAU Eric,NC,Non classé
Nouâtre,37174,213701741,AUGRAS Laurent,NC,Non classé
Nouzilly,37175,213701758,BESNARD Joël,LNC,Non classé
Noyant-De-Touraine,37176,213701766,CHAMPION-BODIN Théo,LNC,Non classé
Orbigny,37177,213701774,CHARBONNIER Jacky,NC,Non classé
Panzoult,37178,213701782,DESBOURDES Francis,NC,Non classé
Parçay-Meslay,37179,213701790,FENET Bruno,LNC,Non classé
Parçay-Sur-Vienne,37180,213701808,DURAND Olivier,NC,Non classé
Paulmy,37181,213701816,FRELON Dominique,NC,Non classé
Pernay,37182,213701824,PENINON Jean-Pierre,LNC,Non classé
Perrusson,37183,213701832,GAULTIER Bernard,LNC,Non classé
Le Petit-Pressigny,37184,213701840,CRON Jean-François,NC,Non classé
Pocé-Sur-Cisse,37185,213701857,COURGEAU Claude,LNC,Non classé
Pont-De-Ruan,37186,213701865,DUVAULT Michelle,LNC,Non classé
Ports-Sur-Vienne,37187,213701873,POUJAUD Daniel,NC,Non classé
Pouzay,37188,213701881,MORIN Françoise,NC,Non classé
Preuilly-Sur-Claise,37189,213701899,CHARRIER Jean-Paul,LNC,Non classé
Pussigny,37190,213701907,DUBOIS Alain,NC,Non classé
Razines,37191,213701915,LIBÉREAU Franck,NC,Non classé
Reignac-Sur-Indre,37192,213701923,BABARY Loïc,LNC,Non classé
Restigné,37193,213701931,HASCOËT Christine,LNC,Non classé
Reugny,37194,213701949,TOKER Nicolas,LNC,Non classé
La Riche,37195,213701956,CLEMENT Sébastien,,
Richelieu,37196,213701964,MARTEGOUTTE Etienne,LNC,Non classé
Rigny-Ussé,37197,213701972,GAZAVE Jean-Jacques,NC,Non classé
Rillé,37198,213701980,DUPONT Xavier,NC,Non classé
Rilly-Sur-Vienne,37199,213701998,RAINEAU Laurent,NC,Non classé
Rivarennes,37200,213702004,BUREAU Agnès,,
Rivière,37201,213702012,LUNETEAU Martine,NC,Non classé
La Roche-Clermault,37202,213702020,FIELD Jérôme,NC,Non classé
Rochecorbon,37203,213702038,DUMÉNIL Emmanuel,LNC,Non classé
Rouziers-De-Touraine,37204,213702046,DELIGNY John-James,,
Saché,37205,213702053,AUGU Stéphane,LNC,Non classé
Saint-Antoine-Du-Rocher,37206,213702061,PAIN Claude,LNC,Non classé
Saint-Aubin-Le-Dépeint,37207,213702079,DURAND Benoît,NC,Non classé
Saint-Avertin,37208,213702087,RAYMOND Laurent,LDVD,Droite
Saint-Benoît-La-Forêt,37210,213702103,GUILBAULT Didier,NC,Non classé
Saint-Branchs,37211,213702111,NATHIÉ Patrick,LNC,Non classé
Sainte-Catherine-De-Fierbois,37212,213702129,PAGÉ Jean-Michel,NC,Non classé
Saint-Christophe-Sur-Le-Nais,37213,213702137,LEMAIRE Catherine,LNC,Non classé
Saint-Cyr-Sur-Loire,37214,213702145,BRIAND Philippe,LLR,Droite
Saint-Epain,37216,213702160,BOULLIER Florence,LNC,Non classé
Saint-Etienne-De-Chigny,37217,213702178,SALIC Régis,LNC,Non classé
Saint-Flovier,37218,213702186,BAISSON Francis,NC,Non classé
Saint-Genouph,37219,213702194,SUARD Patricia,LNC,Non classé
Saint-Germain-Sur-Vienne,37220,213702202,PLOUZEAU Aline,NC,Non classé
Saint-Hippolyte,37221,213702210,PASQUIER Patrick,NC,Non classé
Saint-Jean-Saint-Germain,37222,213702228,PINGUET Joël,NC,Non classé
Saint-Laurent-De-Lin,37223,213702236,SORIN Jean-Paul,NC,Non classé
Saint-Laurent-En-Gâtines,37224,213702244,SENECHAL Isabelle,NC,Non classé
Saint-Martin-Le-Beau,37225,213702251,SCHNEL Alain,LNC,Non classé
Sainte-Maure-De-Touraine,37226,213702269,CHAMPIGNY Michel,LLR,Droite
Saint-Nicolas-De-Bourgueil,37228,213702285,BERGER Sébastien,LNC,Non classé
Saint-Nicolas-Des-Motets,37229,213702293,VERWAERDE Béatrice,,
Saint-Ouen-Les-Vignes,37230,213702301,DENIAU Philippe,LNC,Non classé
Saint-Paterne-Racan,37231,213702319,LAPLEAU Éric,LNC,Non classé
Coteaux-Sur-Loire,37232,200065969,SANS-CHAGRIN Daniel,LNC,Non classé
Saint-Pierre-Des-Corps,37233,213702335,FRANÇOIS Emmanuel,,
Saint-Quentin-Sur-Indrois,37234,213702343,DERUYER-AVERLAND Cécile,,
Saint-Règle,37236,213702368,FAUQUET Christine,NC,Non classé
Saint-Roch,37237,213702376,ANCEAU Alain,LNC,Non classé
Saint-Senoch,37238,213702384,RÉAU Pascal,NC,Non classé
Saunay,37240,213702400,DATTEE Catherine,NC,Non classé
Savigné-Sur-Lathan,37241,213702418,BRUN Hugues,LNC,Non classé
Savigny-En-Véron,37242,213702426,HAILLOT-ENSARGUET Geneviève,LNC,Non classé
Savonnières,37243,213702434,SAVATON Nathalie,LNC,Non classé
Sazilly,37244,213702442,MERLOT Fabrice,NC,Non classé
Semblançay,37245,213702459,TRYSTRAM Antoine,LNC,Non classé
Sennevières,37246,213702467,KRIER Caroline,NC,Non classé
Sepmes,37247,213702475,REZEAU Régine,NC,Non classé
Seuilly,37248,213702483,DEGUINGAND Thierry,NC,Non classé
Sonzay,37249,213702491,VERNEAU Jean-Pierre,LNC,Non classé
Sorigny,37250,213702509,ESNAULT Alain,LNC,Non classé
Souvigné,37251,213702517,AUBERT Chrystophe,NC,Non classé
Souvigny-De-Touraine,37252,213702525,SAROUILLE Frédéric,,
Sublaines,37253,213702533,JARRY Jérôme,NC,Non classé
Tauxigny-Saint-Bauld,37254,200076297,ROBIN Jean-Louis,LNC,Non classé
Tavant,37255,213702558,CORNILLAULT Jacky,NC,Non classé
Theneuil,37256,213702566,MORON Sylvère,NC,Non classé
Thilouze,37257,213702574,LOIZON Eric,LNC,Non classé
Thizay,37258,213702582,BIDET Eric,NC,Non classé
Tournon-Saint-Pierre,37259,213702590,THIBAULT Nicole,NC,Non classé
La Tour-Saint-Gelin,37260,213702608,LE FUR Claude,NC,Non classé
Tours,37261,213702616,DENIS Emmanuel,LUG,Gauche
Trogues,37262,213702624,ALIZON Christophe,NC,Non classé
Truyes,37263,213702632,DE COLBERT Stéphane,LNC,Non classé
Vallères,37264,213702640,CADIOU Jean-Luc,LNC,Non classé
Varennes,37265,213702657,DUGRAIN Michel,NC,Non classé
Veigné,37266,213702665,MICHAUD Patrick,LDVD,Droite
Véretz,37267,213702673,AUGEREAU Gilles,LDVD,Droite
Verneuil-Le-Château,37268,213702681,BIGOT Eric,NC,Non classé
Verneuil-Sur-Indre,37269,213702699,MARQUENET Gérard,NC,Non classé
Vernou-Sur-Brenne,37270,213702707,DEVALLÉE Pascale,LNC,Non classé
Villaines-Les-Rochers,37271,213702715,BERGEOT Marie-Annette,LNC,Non classé
Villandry,37272,213702723,LÉPINE Maria,,
La Ville-Aux-Dames,37273,213702731,BÉNARD Alain,LDVD,Droite
Villebourg,37274,213702749,FROMONT Christophe,NC,Non classé
Villedômain,37275,213702756,MEUNIER Vincent,NC,Non classé
Villedômer,37276,213702764,GONZALEZ-BOURGES Chantal,LNC,Non classé
Villeloin-Coulangé,37277,213702772,GARNIER Maryse,NC,Non classé
Villeperdue,37278,213702780,DUPEY Frédéric,,
Villiers-Au-Bouin,37279,213702798,SAMEDI Daniel,NC,Non classé
Vou,37280,213702806,GUEROIS Carole,,
Vouvray,37281,213702814,PINEAU Brigitte,LNC,Non classé
Yzeures-Sur-Creuse,37282,213702822,PÉRIVIER Jacky,LNC,Non classé
Les Abrets En Dauphiné,38001,200060127,GASTALDELLO Benjamin,LDVC,Centre
Les Adrets,38002,213800022,PERREAU Delphine,,
Agnin,38003,213800030,MONTEYREMARD Christian,LNC,Non classé
L'Albenc,38004,213800048,BUISSON Albert,LNC,Non classé
Allemond,38005,213800055,GINIES Alain,NC,Non classé
Allevard,38006,213800063,REBBOAH Sidney,LDIV,Courants politiques divers
Ambel,38008,213800089,ABERT Jean-Claude,NC,Non classé
Anjou,38009,213800097,DOLPHIN Jean-Michel,LNC,Non classé
Annoisin-Chatelans,38010,213800105,CHEBBI Nora,NC,Non classé
Anthon,38011,213800113,CAMP Cédric,LNC,Non classé
Aoste,38012,213800121,MARCEL Roger,LNC,Non classé
Apprieu,38013,213800139,PALLIER Dominique,LNC,Non classé
Artas,38015,213800154,SIMONDANT Martial,LNC,Non classé
Assieu,38017,213800170,SEGUI Jean Michel,LNC,Non classé
Auberives-En-Royans,38018,213800188,VILLARD Stéphane,NC,Non classé
Auberives-Sur-Varèze,38019,213800196,CLARET Nelly,,
Auris,38020,213800204,MOIROUX Yves,NC,Non classé
Les Avenières Veyrins-Thuellin,38022,200058444,BOITEUX Myriam,,
Avignonet,38023,213800238,FAUCONNIER Jérôme,NC,Non classé
La Balme-Les-Grottes,38026,213800261,BERTHELOT Jean-Pierre,,
Barraux,38027,213800279,ENGRAND Christophe,LNC,Non classé
La Bâtie-Montgascon,38029,213800295,SOLIER Nicolas,LNC,Non classé
Beaucroissant,38030,213800303,REBOUL Antoine,LNC,Non classé
Beaufin,38031,213800311,SERRE Emmanuel,NC,Non classé
Beaufort,38032,213800329,D'ORNANO Christiane,NC,Non classé
Beaulieu,38033,213800337,CORVEY-BIRON Didier,NC,Non classé
Beaurepaire,38034,213800345,PAQUE Yannick,LDIV,Courants politiques divers
Beauvoir-De-Marc,38035,213800352,MANDRAND Robert,LNC,Non classé
Beauvoir-En-Royans,38036,213800360,PETTER Natacha,NC,Non classé
Bellegarde-Poussieu,38037,213800378,GRANGEOT Christelle,NC,Non classé
Belmont,38038,213800386,EVRARD Bernard,NC,Non classé
Bernin,38039,213800394,BESSON Anne-Françoise,LNC,Non classé
Besse,38040,213800402,OUGIER Jean-Rémy,NC,Non classé
Bessins,38041,213800410,LAMBERT Aimé,NC,Non classé
Bévenais,38042,213800428,CARON Pierre,LNC,Non classé
Bilieu,38043,213800436,PENET Jean-Yves,LNC,Non classé
Biol,38044,213800444,BELMONT Patrick,LNC,Non classé
Biviers,38045,213800451,FEROTIN Thierry,LNC,Non classé
Bizonnes,38046,213800469,GALLIFET René,NC,Non classé
Blandin,38047,213800477,MAGNIN Corinne,NC,Non classé
Bonnefamille,38048,213800485,QUEMIN André,LNC,Non classé
Bossieu,38049,213800493,COLLION Thierry,NC,Non classé
Le Bouchage,38050,213800501,POURTIER Annie,NC,Non classé
Bougé-Chambalud,38051,213800519,ANDRÉ Sébastien,LNC,Non classé
Le Bourg-D'Oisans,38052,213800527,VERNEY Guy,LNC,Non classé
Bourgoin-Jallieu,38053,213800535,CHRIQUI Vincent,LUD,Droite
Bouvesse-Quirieu,38054,213800543,GONZALEZ Frédéric,LNC,Non classé
Brangues,38055,213800550,GRANGER Sylvain,NC,Non classé
Bressieux,38056,213800568,BADEZ Gilbert,NC,Non classé
Bresson,38057,213800576,GUYOMARD Audrey,NC,Non classé
Brézins,38058,213800584,GELAS Gilles,LNC,Non classé
Brié-Et-Angonnes,38059,213800592,SOULLIER Claude,LNC,Non classé
Brion,38060,213800600,DUBUC Thierry,NC,Non classé
La Buisse,38061,213800618,DESSEZ Dominique,LNC,Non classé
La Buissière,38062,213800626,DUPON Agnes,NC,Non classé
Burcin,38063,213800634,MARGNAT Philippe,NC,Non classé
Cessieu,38064,213800642,BROCHARD Christophe,LNC,Non classé
Châbons,38065,213800659,BARANI Marie-Pierre,LNC,Non classé
Chalon,38066,213800667,TYRODE Elisabeth,NC,Non classé
Chamagnieu,38067,213800675,CADO Jean-Yves,LNC,Non classé
Champagnier,38068,213800683,CHOLAT Florent,LNC,Non classé
Champier,38069,213800691,LAROCHE Sébastien,LNC,Non classé
Le Champ-Près-Froges,38070,213800709,JACQUIN Mylène,LNC,Non classé
Champ-Sur-Drac,38071,213800717,DIETRICH Francis,LNC,Non classé
Chanas,38072,213800725,MALATRAIT Jean-Charles,LNC,Non classé
Chantepérier,38073,200086452,MEHEUT Christelle,NC,Non classé
Chantesse,38074,213800741,ORIOL Isabelle,NC,Non classé
Chapareillan,38075,213800758,VENTURINI Martine,LNC,Non classé
La Chapelle-De-La-Tour,38076,213800766,TISSERAND Thérèse,,
La Chapelle-De-Surieu,38077,213800774,GIRARD Gabriel,NC,Non classé
La Chapelle-Du-Bard,38078,213800782,CHAMON Karim,NC,Non classé
Charancieu,38080,213800808,GUTTIN Christian,NC,Non classé
Charantonnay,38081,213800816,ORELLE Pierre-Louis,LNC,Non classé
Charavines,38082,213800824,GUILLAUD-BATAILLE Bruno,LNC,Non classé
Charette,38083,213800832,SURNON Francis Maurice,,
Charnècles,38084,213800840,REUX Nadine,LNC,Non classé
Charvieu-Chavagneux,38085,213800857,DEZEMPTE Gérard,LDVD,Droite
Chasselay,38086,213800865,CHAMPON Gilbert,NC,Non classé
Chasse-Sur-Rhône,38087,213800873,BOUVIER Christophe,LDVG,Gauche
Chassignieu,38089,213800899,BOUVET Jean-Marc,NC,Non classé
Châteauvilain,38091,213800915,GAUDE Daniel,NC,Non classé
Châtelus,38092,213800923,THUMY William,NC,Non classé
Châtenay,38093,213800931,CHEVALLIER Christian,NC,Non classé
Châtonnay,38094,213800949,NOGUERAS Jean-Michel,LNC,Non classé
Chatte,38095,213800956,ROUX André,LNC,Non classé
Chavanoz,38097,213800972,DAVRIEUX Roger,LDVD,Droite
Chélieu,38098,213800980,GAUTHIER Max,NC,Non classé
Chevrières,38099,213800998,ROUSSET Franck,NC,Non classé
Le Cheylas,38100,213801004,COHARD Roger,LNC,Non classé
Cheyssieu,38101,213801012,BONNETON Gilles,LNC,Non classé
Chèzeneuve,38102,213801020,BOUIN Emmanuelle,NC,Non classé
Chichilianne,38103,213801038,VALLIER Eric,NC,Non classé
Chimilin,38104,213801046,DECOUX Edmond,LNC,Non classé
Chirens,38105,213801053,GUTTIN Christine,LNC,Non classé
Cholonge,38106,213801061,KRAMARCZEWSKI Bruno,NC,Non classé
Chonas-L'Amballan,38107,213801079,PROENCA Jean,LNC,Non classé
Choranche,38108,213801087,MOREAU-GLENAT Geneviève,NC,Non classé
Chozeau,38109,213801095,ARNAUD Richard,LNC,Non classé
Chuzelles,38110,213801103,HYVERNAT Nicolas,LNC,Non classé
Claix,38111,213801111,REVIL Christophe,LDVC,Centre
Clavans-En-Haut-Oisans,38112,213801129,TOMMASI Serge,NC,Non classé
Clelles,38113,213801137,ROCHE Alain,NC,Non classé
Clonas-Sur-Varèze,38114,213801145,VIALLATTE Régis,LNC,Non classé
Saint-Martin-De-La-Cluze,38115,213801152,ROSSI Hélène,NC,Non classé
Cognet,38116,213801160,BONOMI Jean-Pierre,NC,Non classé
Cognin-Les-Gorges,38117,213801178,FERROUILLAT Patrice,NC,Non classé
Colombe,38118,213801186,JACQUIN Martine,LNC,Non classé
La Combe-De-Lancey,38120,213801202,VILLARINO Régine,NC,Non classé
Corbelin,38124,213801244,GEHIN Frédéric,,
Corenc,38126,213801269,MERMILLOD-BLONDIN Jean-Damien,LDVC,Centre
Cornillon-En-Trièves,38127,213801277,BAUP Gérard,NC,Non classé
Corps,38128,213801285,MULYK Fabien,NC,Non classé
Corrençon-En-Vercors,38129,213801293,GUILLET Thomas,NC,Non classé
La Côte-Saint-André,38130,213801301,GULLON Joël,LDVD,Droite
Les Côtes-D'Arey,38131,213801319,BOREL Christian,LNC,Non classé
Les Côtes-De-Corps,38132,213801327,MAUROY Claude-Emmanuel,NC,Non classé
Coublevie,38133,213801335,PERVES Adrienne,LECO,Courants politiques divers
Cour-Et-Buis,38134,213801343,GARNIER Jacques,NC,Non classé
Courtenay,38135,213801350,LEFEVRE Stéphane,LNC,Non classé
Crachier,38136,213801368,ROY Nadine,NC,Non classé
Cras,38137,213801376,DI MARIA Nicole,NC,Non classé
Crémieu,38138,213801384,FLORES Isabelle,,
Creys-Mépieu,38139,213801392,BONNARD Olivier,LNC,Non classé
Crolles,38140,213801400,LORIMIER Philippe,"LSOC,LDVC",Gauche
Culin,38141,213801418,DEBRAND Maurice,NC,Non classé
Diémoz,38144,213801442,REY Christian,LNC,Non classé
Dizimieu,38146,213801467,NGUYEN Luc,NC,Non classé
Doissin,38147,213801475,SEYCHELLES Véronique,NC,Non classé
Dolomieu,38148,213801483,HARTMANN Delphine,LNC,Non classé
Domarin,38149,213801491,MARY Alain,LNC,Non classé
Domène,38150,213801509,BAYON Chrystel,LDVD,Droite
Echirolles,38151,213801517,DEMORE Amandine,,
Eclose-Badinières,38152,200049815,BERGER Alain,LNC,Non classé
Engins,38153,213801533,FALCO Stéphane,NC,Non classé
Entraigues,38154,213801541,SIMONNET Martine,NC,Non classé
Entre-Deux-Guiers,38155,213801558,BAFFERT Pierre,LNC,Non classé
Les Eparres,38156,213801566,SUCHET Noel,NC,Non classé
Estrablin,38157,213801574,PEILLOT Denis,LNC,Non classé
Eybens,38158,213801582,RICHARD Nicolas,,
Eydoche,38159,213801590,RONCO Catherine,NC,Non classé
Eyzin-Pinet,38160,213801608,JANIN Christian,LNC,Non classé
Faramans,38161,213801616,BOURDAT Gilles,LNC,Non classé
Faverges-De-La-Tour,38162,213801624,DAMAIS Jean-Marc,LNC,Non classé
Le Haut-Bréda,38163,200086437,THILLY Sandrine,NC,Non classé
La Flachère,38166,213801665,SORREL Brigitte,NC,Non classé
Flachères,38167,213801673,MADINIER Cyrille,NC,Non classé
Fontaine,38169,213801699,LONGO Franck,"LMDM,LDVC",Centre
Fontanil-Cornillon,38170,213801707,DUPONT-FERRIER Stéphane,LNC,Non classé
La Forteresse,38171,213801715,COLLET Evelyne,NC,Non classé
Four,38172,213801723,PAPADOPULO Jean,LNC,Non classé
Le Freney-D'Oisans,38173,213801731,PICHOUD Christian,NC,Non classé
La Frette,38174,213801749,CRÉZÉ Bernard,LNC,Non classé
Froges,38175,213801756,SALVETTI Olivier,LNC,Non classé
Frontonas,38176,213801764,MERLE Annick,LNC,Non classé
La Garde,38177,213801772,GANDIT Pierre,NC,Non classé
Gières,38179,213801798,VERRI Pierre,LSOC,Gauche
Gillonnay,38180,213801806,JULLIEN-VIEROZ Jean-Paul,LNC,Non classé
Goncelin,38181,213801814,MIDALI Françoise,LNC,Non classé
Le Grand-Lemps,38182,213801822,BARDIN-RABATEL Geraldine,LNC,Non classé
Granieu,38183,213801830,HUGUET Chantal,NC,Non classé
Grenay,38184,213801848,CAUQUIL Alain,LNC,Non classé
Grenoble,38185,213801855,PIOLLE Eric,LDVG,Gauche
Gresse-En-Vercors,38186,213801863,BELLOT Jean-Marc,NC,Non classé
Le Gua,38187,213801871,FARLEY Simon,LNC,Non classé
Herbeys,38188,213801889,FONTANA Françoise,,
Heyrieux,38189,213801897,ANGONIN Daniel,LDVC,Centre
Hières-Sur-Amby,38190,213801905,PSAILA Philippe,,
Huez,38191,213801913,NOYREY Jean-Yves,LNC,Non classé
Hurtières,38192,213801921,ROUSSEL Alain,NC,Non classé
L'Isle-D'Abeau,38193,213801939,MARION Cyril,LDVC,Centre
Izeaux,38194,213801947,BARBAGALLO Max,,
Izeron,38195,213801954,CHARBONNEL David,NC,Non classé
Janneyrias,38197,213801970,TURMAUD Jean-Louis,LNC,Non classé
Jarcieu,38198,213801988,BERHAULT Yann,LNC,Non classé
Jardin,38199,213801996,ROQUEPLAN Bernard,LNC,Non classé
Jarrie,38200,213802002,GUERRERO Raphaël,LDVC,Centre
Laffrey,38203,213802036,FAURE Philippe,NC,Non classé
Lalley,38204,213802044,DRAIN Marie-Pierre,NC,Non classé
Lans-En-Vercors,38205,213802051,KRAEMER Michaël,LNC,Non classé
Laval-En-Belledonne,38206,213802069,DEGOUL-STISSI Mireille,NC,Non classé
Lavaldens,38207,213802077,CHATTARD Arnaud,NC,Non classé
Lavars,38208,213802085,EYRAUD-GRIFFET Alexandre,NC,Non classé
Lentiol,38209,213802093,COTTINET Henri,NC,Non classé
Leyrieu,38210,213802101,BRENIER Jean-Yves,NC,Non classé
Lieudieu,38211,213802119,GERIN Guy,NC,Non classé
Livet-Et-Gavet,38212,213802127,DUPONT Gilbert,LNC,Non classé
Longechenal,38213,213802135,FERRAND Charles,NC,Non classé
Lumbin,38214,213802143,FORTE Pierre,LNC,Non classé
Luzinay,38215,213802150,CHARLES Christophe,LNC,Non classé
Malleval-En-Vercors,38216,213802168,DURAND Christophe,,
Marcieu,38217,213802176,PREVOT Fabienne,NC,Non classé
Marcilloles,38218,213802184,PRIMAT Dominique,LNC,Non classé
Marcollin,38219,213802192,SCALA Anaïs,NC,Non classé
Marnans,38221,213802218,GILLET Bernard,NC,Non classé
Massieu,38222,213802226,BOUILHOL Norbert Marius Nicolas,NC,Non classé
Maubec,38223,213802234,TISSERAND Olivier,LNC,Non classé
Mayres-Savel,38224,213802242,BRUGNERA Jean-Michel,NC,Non classé
Autrans-Méaudre En Vercors,38225,200056224,ARNAUD Hubert,LNC,Non classé
Mens,38226,213802267,SUZZARINI Pierre,LNC,Non classé
Merlas,38228,213802283,GRANDPERRIN Denis,NC,Non classé
Meylan,38229,213802291,CARDIN Philippe,LDVG,Gauche
Meyrié,38230,213802309,BADIN Pascale,NC,Non classé
Meyrieu-Les-Etangs,38231,213802317,COUTURIER Alain,LNC,Non classé
Meyssiez,38232,213802325,GIRARD Hubert,NC,Non classé
Miribel-Lanchâtre,38235,213802358,GAUTHIER Michel,NC,Non classé
Miribel-Les-Echelles,38236,213802366,DUFOUR Williams,LNC,Non classé
Mizoën,38237,213802374,MICHEL Bernard,NC,Non classé
Moidieu-Détourbe,38238,213802382,PETREQUIN Christian,LNC,Non classé
Moirans,38239,213802390,ZULIAN Valérie,LDVG,Gauche
Moissieu-Sur-Dolon,38240,213802408,MANIN Gilbert,NC,Non classé
Monestier-D'Ambel,38241,213802416,GERBI Franck,NC,Non classé
Monestier-De-Clermont,38242,213802424,FURMANCZAK Eric,LNC,Non classé
Le Monestier-Du-Percy,38243,213802432,CUCHET Robert,NC,Non classé
Monsteroux-Milieu,38244,213802440,MERLIN Denis,NC,Non classé
Montagne,38245,213802457,MANDIER Corinne,NC,Non classé
Montagnieu,38246,213802465,BAS Christelle,LNC,Non classé
Montalieu-Vercieu,38247,213802473,GIROUD Christian,LNC,Non classé
Montaud,38248,213802481,COLIN Francis,NC,Non classé
Montbonnot-Saint-Martin,38249,213802499,BONNET Dominique,LUC,Centre
Montcarra,38250,213802507,EMERAUD David,NC,Non classé
Montchaboud,38252,213802523,SOTO Guy,NC,Non classé
Les Deux-Alpes,38253,200064434,SAUVEBOIS Stéphane,LNC,Non classé
Monteynard,38254,213802549,PASSELANDE Richard,NC,Non classé
Montfalcon,38255,213802556,BRET Frédéric,NC,Non classé
Montferrat,38256,213802564,PERRIN-COCON Roland,,
Montrevel,38257,213802572,VITTE Daniel,NC,Non classé
Mont-Saint-Martin,38258,213802580,DEPINOIS Marc,NC,Non classé
Montseveroux,38259,213802598,OGIER Karelle,NC,Non classé
Moras,38260,213802606,BOGAS Sylvie,NC,Non classé
Morestel,38261,213802614,VIAL Frédéric,LDVD,Droite
Morette,38263,213802630,DORIOL Franck,NC,Non classé
La Morte,38264,213802648,MASLO Raymond,NC,Non classé
La Motte-D'Aveillans,38265,213802655,ROSSI Angélique,,
La Motte-Saint-Martin,38266,213802663,GONNORD Franck,NC,Non classé
Mottier,38267,213802671,RIVARD Isabelle,NC,Non classé
Le Moutaret,38268,213802689,GUILLUY Alain,NC,Non classé
La Mure,38269,213802697,BONNIER Eric,LDVD,Droite
La Murette,38270,213802705,SERAYET Carole,LNC,Non classé
Murianette,38271,213802713,GARCIN Cédric,NC,Non classé
Nantes-En-Ratier,38273,213802739,PONTIER Joël,NC,Non classé
Serre-Nerpol,38275,213802754,ROUSSET Alain,NC,Non classé
Nivolas-Vermelle,38276,213802762,BETON Christian,LNC,Non classé
Notre-Dame-De-Commiers,38277,213802770,MARRON Patrick,NC,Non classé
Notre-Dame-De-L'Osier,38278,213802788,BRICHET-BILLET Alex,NC,Non classé
Notre-Dame-De-Mésage,38279,213802796,BUISSON Jérôme,LNC,Non classé
Notre-Dame-De-Vaulx,38280,213802804,GARCIA Bernadette,NC,Non classé
Noyarey,38281,213802812,JANIN QUERCIA Nelly,LNC,Non classé
Optevoz,38282,213802820,QUILES Joseph,NC,Non classé
Ornacieux-Balbins,38284,200083038,AMICE Anne-Marie,NC,Non classé
Ornon,38285,213802853,FAURE Nicole,NC,Non classé
Oulles,38286,213802861,CORRENOZ Clotilde,NC,Non classé
Oyeu,38287,213802879,BENOIT Christophe,,
Oytier-Saint-Oblas,38288,213802887,PORRETTA René,LNC,Non classé
Oz,38289,213802895,SAGE Philippe,NC,Non classé
Pact,38290,213802903,ILTIS Laurent,NC,Non classé
Pajay,38291,213802911,BAJAT Bernard,LNC,Non classé
Villages Du Lac De Paladru,38292,200063972,CARRON Denis,LNC,Non classé
Panossas,38294,213802945,CANDY Christophe,NC,Non classé
Parmilieu,38295,213802952,TERUEL Eric,NC,Non classé
Le Passage,38296,213802960,MICHEL Laurent,NC,Non classé
Arandon-Passins,38297,200063964,SANDRIN Maria,LNC,Non classé
Le Péage-De-Roussillon,38298,213802986,MONDANGE André,LDVG,Gauche
Pellafol,38299,213802994,JOUBERT Thierry,NC,Non classé
Penol,38300,213803000,VEYRET Bernard,NC,Non classé
Percy,38301,213803018,CAMPREDON Sabine,NC,Non classé
La Pierre,38303,213803034,GAYET Jean-Yves,NC,Non classé
Pierre-Châtel,38304,213803042,VILLARD Alain,LNC,Non classé
Pisieu,38307,213803075,DURIEUX Jean-Luc,NC,Non classé
Plan,38308,213803083,CUGNIET Patrick,NC,Non classé
Poisat,38309,213803091,BUSTOS Ludovic,LNC,Non classé
Poliénas,38310,213803109,ARGOUD Lionel,,
Pommier-De-Beaurepaire,38311,213803117,PASCAL Michel,NC,Non classé
Ponsonnas,38313,213803133,LANEYRIE Jean-Marc,NC,Non classé
Pontcharra,38314,213803141,ROBIN Cécile,,
Le Pont-De-Beauvoisin,38315,213803158,SERRANO Michel,LDVD,Droite
Pont-De-Chéruy,38316,213803166,BRON Franck,LDVD,Droite
Le Pont-De-Claix,38317,213803174,FERRARI Christophe,LUG,Gauche
Pont-Evêque,38318,213803182,FAÏTA Martine,LDVD,Droite
Pont-En-Royans,38319,213803190,MOULIN LAPORTE Arielle,,
Porcieu-Amblagnieu,38320,213803208,PEJU Nathalie,LNC,Non classé
Prébois,38321,213803216,FAURE Yannick,NC,Non classé
Presles,38322,213803224,DUMAS Vincent,NC,Non classé
